Tue Aug 13 15:21:30 2024    profile_data.prof

         297998 function calls (292075 primitive calls) in 14.634 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 __init__.py:227(_releaseLock)
       36    0.000    0.000    0.002    0.000 tokenize.py:295(detect_encoding)
       36    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
       35    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
       35    0.000    0.000    0.000    0.000 __init__.py:771(__init__)
       35    0.000    0.000    0.001    0.000 __init__.py:1284(getLogger)
       35    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
       35    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
       35    0.000    0.000    0.002    0.000 __init__.py:2034(getLogger)
       35    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       34    0.000    0.000    0.001    0.000 tokenize.py:404(tokenize)
       34    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       33    0.000    0.000    0.000    0.000 inspect.py:1945(<listcomp>)
       33    0.002    0.000    0.024    0.001 inspect.py:1926(_signature_strip_non_python_syntax)
       33    0.000    0.000    0.000    0.000 inspect.py:2055(RewriteSymbolics)
       33    0.002    0.000    0.055    0.002 inspect.py:1998(_signature_fromstr)
       33    0.000    0.000    0.056    0.002 inspect.py:2136(_signature_from_builtin)
       33    0.000    0.000    0.004    0.000 ast.py:33(parse)
       33    0.001    0.000    0.060    0.002 symbolic_convert.py:228(stack_op)
       33    0.018    0.001    0.018    0.001 {method 'copy' of 'dict' objects}
       32    0.000    0.000    0.000    0.000 trace_rules.py:3178(_module_dir)
       32    0.000    0.000    0.000    0.000 trace_rules.py:3288(<genexpr>)
       31    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       30    0.000    0.000    0.000    0.000 enum.py:715(_generate_next_value_)
       28    0.000    0.000    0.000    0.000 typing.py:903(<genexpr>)
       28    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       27    0.000    0.000    0.000    0.000 typing.py:791(<listcomp>)
       27    0.000    0.000    0.000    0.000 typing.py:786(__repr__)
       27    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C.TensorBase' objects}
       26    0.000    0.000    0.003    0.000 abc.py:105(__new__)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       25    0.000    0.000    0.000    0.000 symbolic_helper.py:655(_block_list_in_opset)
       24    0.000    0.000    0.000    0.000 typing.py:1007(__init_subclass__)
       24    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       23    0.000    0.000    0.001    0.000 contextlib.py:234(contextmanager)
       22    0.000    0.000    0.000    0.000 <frozen zipimport>:109(find_loader)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1368(_legacy_get_spec)
       22    0.000    0.000    0.000    0.000 <frozen zipimport>:312(_is_dir)
       22    0.000    0.000    0.000    0.000 <frozen zipimport>:321(_get_module_info)
       22    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
    22/11    0.002    0.000    0.102    0.009 sre_parse.py:435(_parse_sub)
       22    0.000    0.000    0.003    0.000 typing.py:880(__getitem__)
       22    0.000    0.000    0.001    0.000 typing.py:1192(__init_subclass__)
       22    0.000    0.000    0.000    0.000 lazy.py:129(_create_realize_and_forward)
       22    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       21    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       21    0.000    0.000    0.000    0.000 symbolic_opset9.py:300(wrapper)
       21    0.000    0.000    0.000    0.000 symbolic_opset9.py:297(_export)
       20    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
       20    0.000    0.000    0.000    0.000 enum.py:571(_get_mixins_)
       20    0.000    0.000    0.000    0.000 dataclasses.py:162(__repr__)
       20    0.000    0.000    0.000    0.000 module.py:2286(<lambda>)
       20    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_unary}
       20    0.000    0.000    0.000    0.000 linalg.py:35(linalg_errors)
       20    0.038    0.002    0.038    0.002 {method 'acquire' of '_thread.lock' objects}
       20    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       19    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
       19    0.000    0.000    0.000    0.000 os.py:740(check_str)
       19    0.000    0.000    0.000    0.000 os.py:746(encodekey)
       19    0.000    0.000    0.001    0.000 typing.py:524(__init__)
       19    0.000    0.000    0.000    0.000 typing.py:933(__hash__)
       19    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_variadic}
       19    0.000    0.000    0.000    0.000 {built-in method time.time}
       19    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       18    0.000    0.000    0.000    0.000 _collections_abc.py:760(get)
       18    0.000    0.000    0.044    0.002 util.py:73(find_spec)
       18    0.000    0.000    0.003    0.000 typing.py:909(__getitem__)
       18    0.000    0.000    0.000    0.000 dataclasses.py:523(<genexpr>)
       18    0.000    0.000    0.000    0.000 {method 'permute' of 'torch._C.TensorBase' objects}
       18    0.001    0.000    0.001    0.000 {method 'view' of 'torch._C.TensorBase' objects}
       18    0.000    0.000    0.001    0.000 modeling_bert.py:249(transpose_for_scores)
       18    0.000    0.000    0.182    0.010 trace_rules.py:3330(add)
       17    0.000    0.000    0.000    0.000 _internal.py:111(register_artifact_log)
       17    0.000    0.000    0.000    0.000 _internal.py:131(is_off_by_default)
       17    0.000    0.000    0.000    0.000 _internal.py:146(is_artifact_enabled)
       17    0.000    0.000    0.001    0.000 _internal.py:530(getArtifactLogger)
       17    0.000    0.000    0.000    0.000 _internal.py:553(configure_artifact_log)
       16    0.000    0.000    0.000    0.000 enum.py:774(__hash__)
       15    0.000    0.000    0.000    0.000 threading.py:256(__enter__)
       15    0.000    0.000    0.000    0.000 threading.py:259(__exit__)
       15    0.000    0.000    0.000    0.000 typing.py:574(__hash__)
       15    0.000    0.000    0.000    0.000 dataclasses.py:1039(<genexpr>)
       14    0.000    0.000    0.001    0.000 textwrap.py:414(dedent)
       14    0.000    0.000    0.000    0.000 _ops.py:101(inner)
       14    0.000    0.000    0.000    0.000 _ops.py:100(py_impl)
       14    0.001    0.000    0.001    0.000 _ops.py:279(py_impl)
       14    0.000    0.000    0.000    0.000 fft.py:13(upcast)
       14    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       14    0.001    0.000    0.001    0.000 {built-in method fromkeys}
       13    0.000    0.000    0.001    0.000 typing.py:876(copy_with)
       13    0.000    0.000    0.002    0.000 typing.py:894(__getitem_inner__)
       13    0.000    0.000    0.000    0.000 {built-in method torch._C._get_cudnn_enabled}
       13    0.000    0.000    0.000    0.000 {built-in method torch.dropout}
       13    0.010    0.001    0.010    0.001 {built-in method torch.layer_norm}
       13    0.000    0.000    0.001    0.000 functional.py:1279(dropout)
       13    0.000    0.000    0.011    0.001 functional.py:2561(layer_norm)
       13    0.000    0.000    0.000    0.000 _VF.py:26(__getattr__)
       13    0.000    0.000    0.011    0.001 normalization.py:201(forward)
       13    0.000    0.000    0.001    0.000 dropout.py:58(forward)
       13    0.000    0.000    0.000    0.000 __init__.py:37(__get__)
       13    0.000    0.000    0.000    0.000 _reductions_impl.py:28(_deco_axis_expand)
       13    0.000    0.000    0.000    0.000 _infra.py:75(from_sarif)
       13    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       13    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       12    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
       12    0.000    0.000    0.000    0.000 base_futures.py:14(isfuture)
       12    0.000    0.000    0.000    0.000 _ops.py:288(fallthrough)
       12    0.000    0.000    0.000    0.000 {built-in method fromtimestamp}
       12    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       11    0.002    0.000    0.002    0.000 enum.py:977(__and__)
       11    0.000    0.000    0.001    0.000 re.py:203(sub)
       11    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       11    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       11    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
       11    0.000    0.000    0.027    0.002 sre_compile.py:598(_code)
       11    0.002    0.000    0.131    0.012 sre_compile.py:759(compile)
       11    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       11    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       11    0.001    0.000    0.014    0.001 sre_parse.py:96(closegroup)
       11    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       11    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
       11    0.000    0.000    0.102    0.009 sre_parse.py:939(parse)
       11    0.000    0.000    0.000    0.000 typing.py:640(<genexpr>)
       11    0.000    0.000    0.000    0.000 typing.py:628(__init__)
       11    0.000    0.000    0.000    0.000 utils.py:117(_format_timetuple_and_zone)
       11    0.000    0.000    0.002    0.000 utils.py:126(formatdate)
       11    0.000    0.000    0.001    0.000 utils.py:155(format_datetime)
       11    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       11    0.001    0.000    0.001    0.000 {method 'timetuple' of 'datetime.datetime' objects}
       10    0.000    0.000    0.003    0.000 <frozen zipimport>:63(__init__)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
       10    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap_external>:1333(_path_hooks)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1594(<setcomp>)
       10    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1565(_fill_cache)
       10    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1606(path_hook_for_FileFinder)
       10    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
       10    0.000    0.000    0.000    0.000 enum.py:81(__init__)
       10    0.000    0.000    0.001    0.000 enum.py:164(__prepare__)
       10    0.000    0.000    0.000    0.000 enum.py:197(<dictcomp>)
       10    0.000    0.000    0.001    0.000 enum.py:221(<setcomp>)
       10    0.003    0.000    0.007    0.001 enum.py:179(__new__)
       10    0.000    0.000    0.000    0.000 enum.py:415(__getattr__)
       10    0.000    0.000    0.000    0.000 enum.py:561(_check_for_existing_members)
       10    0.000    0.000    0.001    0.000 enum.py:618(_find_new_)
       10    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       10    0.000    0.000    0.000    0.000 utils.py:462(__init__)
       10    0.000    0.000    0.001    0.000 _deprecation.py:21(decorator)
       10    0.000    0.000    0.000    0.000 _deprecation.py:9(deprecated)
       10    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
       10    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
       10    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
       10    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       10    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       10    0.000    0.000    0.001    0.000 {built-in method builtins.sum}
       10    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        9    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        9    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        9    0.000    0.000    0.001    0.000 utils.py:374(_text_width)
        9    0.000    0.000    0.001    0.000 utils.py:378(disp_len)
        9    0.010    0.001    0.010    0.001 {method 'write' of '_io.TextIOWrapper' objects}
        9    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        8    0.000    0.000    0.000    0.000 __init__.py:896(acquire)
        8    0.000    0.000    0.000    0.000 __init__.py:903(release)
        8    0.000    0.000    0.000    0.000 __init__.py:1230(append)
        8    0.000    0.000    0.000    0.000 traceback.py:292(walk_stack)
        8    0.000    0.000    0.000    0.000 module.py:2233(parameters)
        8    0.000    0.000    0.000    0.000 module.py:2258(named_parameters)
        8    0.000    0.000    0.000    0.000 module.py:2219(_named_members)
        8    0.000    0.000    0.000    0.000 _tensor.py:1055(__hash__)
        8    0.000    0.000    0.001    0.000 utils.py:194(inner)
        8    0.000    0.000    0.000    0.000 version.py:207(<genexpr>)
        8    0.000    0.000    0.000    0.000 random.py:44(deco_stream)
        8    0.000    0.000    0.000    0.000 symbolic_convert.py:309(generic_jump)
        7    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        7    0.000    0.000    0.000    0.000 ntpath.py:180(split)
        7    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        7    0.000    0.000    0.003    0.000 linecache.py:36(getlines)
        7    0.000    0.000    0.001    0.000 linecache.py:52(checkcache)
        7    0.000    0.000    0.000    0.000 {method 'transpose' of 'torch._C.TensorBase' objects}
        7    0.000    0.000    0.000    0.000 std.py:231(__call__)
        7    0.000    0.000    0.000    0.000 configuration_utils.py:261(__getattribute__)
        7    0.000    0.000    0.000    0.000 symbolic_helper.py:1084(_interpolate_helper)
        7    0.000    0.000    0.000    0.000 symbolic_opset11.py:344(_interpolate)
        7    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        6    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        6    0.000    0.000    0.000    0.000 threading.py:228(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1060(__setitem__)
        6    0.000    0.000    0.000    0.000 enum.py:244(<genexpr>)
        6    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
        6    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        6    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
        6    0.000    0.000    0.000    0.000 __init__.py:791(filter)
        6    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
        6    0.000    0.000    0.001    0.000 traceback.py:285(line)
        6    0.000    0.000    0.001    0.000 linecache.py:26(getline)
        6    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        6    0.000    0.000    0.000    0.000 inspect.py:700(<genexpr>)
        6    0.000    0.000    0.000    0.000 inspect.py:703(<genexpr>)
        6    0.000    0.000    0.000    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
        6    0.000    0.000    0.000    0.000 main.py:183(__init__)
        6    0.000    0.000    0.000    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
        6    0.000    0.000    0.000    0.000 std.py:102(acquire)
        6    0.000    0.000    0.000    0.000 std.py:106(release)
        6    0.000    0.000    0.000    0.000 utils.py:273(_is_ascii)
        6    0.000    0.000    0.000    0.000 version.py:454(_parse_letter_version)
        6    0.000    0.000    0.354    0.059 pytorch_utils.py:166(apply_chunking_to_forward)
        6    0.000    0.000    0.006    0.001 activations.py:77(forward)
        6    0.001    0.000    0.079    0.013 modeling_bert.py:363(forward)
        6    0.001    0.000    0.033    0.005 modeling_bert.py:464(forward)
        6    0.000    0.000    0.112    0.019 modeling_bert.py:504(forward)
        6    0.000    0.000    0.117    0.020 modeling_bert.py:537(forward)
        6    0.001    0.000    0.229    0.038 modeling_bert.py:550(forward)
        6    0.000    0.000    0.466    0.078 modeling_bert.py:572(forward)
        6    0.000    0.000    0.347    0.058 modeling_bert.py:637(feed_forward_chunk)
        6    0.001    0.000    2.702    0.450 __init__.py:1(<module>)
        6    0.000    0.000    0.138    0.023 trace_rules.py:3325(_recompile_re)
        6    0.000    0.000    0.000    0.000 symbolic_helper.py:1844(_overload_by_arg_count)
        6    0.000    0.000    0.000    0.000 symbolic_opset9.py:1485(_max_pool)
        6    0.000    0.000    0.000    0.000 symbolic_opset9.py:1676(_adaptive_pool)
        6    0.000    0.000    0.000    0.000 symbolic_opset9.py:1941(_interpolate)
        6    0.000    0.000    0.000    0.000 symbolic_opset9.py:3430(_unsupported_dropout)
        6    0.000    0.000    0.000    0.000 symbolic_opset8.py:68(_interpolate)
        6    0.000    0.000    0.000    0.000 symbolic_opset10.py:269(_max_pool)
        6    0.000    0.000    0.000    0.000 symbolic_opset10.py:436(_interpolate)
        6    0.000    0.000    0.000    0.000 symbolic_convert.py:491(decorator)
        6    0.000    0.000    0.000    0.000 symbolic_convert.py:490(break_graph_if_unsupported)
        6    0.006    0.001    0.006    0.001 {built-in method torch._C._nn.gelu}
        6    0.002    0.000    0.002    0.000 {built-in method torch._C._nn.scaled_dot_product_attention}
        6    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        6    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
        6    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        6    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        5    0.000    0.000    0.000    0.000 ntpath.py:221(dirname)
        5    0.000    0.000    0.000    0.000 threading.py:265(_release_save)
        5    0.000    0.000    0.000    0.000 threading.py:268(_acquire_restore)
        5    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
        5    0.000    0.000    0.038    0.008 threading.py:280(wait)
        5    0.000    0.000    0.000    0.000 threading.py:1351(current_thread)
        5    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        5    0.000    0.000    0.000    0.000 typing.py:993(<genexpr>)
        5    0.000    0.000    0.000    0.000 typing.py:996(<genexpr>)
        5    0.000    0.000    0.000    0.000 objectid.py:240(__str__)
        5    0.190    0.038    0.190    0.038 {built-in method torch.tensor}
        5    0.000    0.000    0.000    0.000 std.py:400(format_interval)
        5    0.000    0.000    0.000    0.000 trace_rules.py:2948(__init__)
        5    0.000    0.000    0.000    0.000 symbolic_helper.py:1809(_reduce_op_symbolic_helper)
        5    0.000    0.000    0.000    0.000 symbolic_helper.py:1859(_reduce_with_dtype_helper)
        5    0.000    0.000    0.000    0.000 symbolic_opset9.py:2063(wrap_logical_op_with_negation)
        5    0.000    0.000    0.000    0.000 {built-in method binascii.hexlify}
        5    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        5    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        5    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
        4    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 threading.py:521(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:529(is_set)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        4    0.000    0.000    0.000    0.000 __init__.py:358(getMessage)
        4    0.000    0.000    0.000    0.000 __init__.py:421(usesTime)
        4    0.000    0.000    0.000    0.000 __init__.py:429(_format)
        4    0.000    0.000    0.000    0.000 __init__.py:432(format)
        4    0.000    0.000    0.000    0.000 __init__.py:582(formatTime)
        4    0.000    0.000    0.000    0.000 __init__.py:628(usesTime)
        4    0.000    0.000    0.000    0.000 __init__.py:634(formatMessage)
        4    0.000    0.000    0.000    0.000 __init__.py:650(format)
        4    0.000    0.000    0.000    0.000 __init__.py:916(format)
        4    0.000    0.000    0.010    0.003 __init__.py:939(handle)
        4    0.000    0.000    0.000    0.000 __init__.py:1060(flush)
        4    0.000    0.000    0.010    0.002 __init__.py:1071(emit)
        4    0.000    0.000    0.003    0.001 linecache.py:80(updatecache)
        4    0.000    0.000    0.000    0.000 _compatibility.py:25(mark_not_back_compat)
        4    0.000    0.000    0.000    0.000 _compatibility.py:8(compatibility)
      4/2    0.000    0.000    0.234    0.117 _exception_handler.py:42(wrapped_app)
        4    0.000    0.000    0.000    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
        4    0.000    0.000    0.000    0.000 _ops.py:284(namespace)
        4    0.000    0.000    0.000    0.000 std.py:110(__enter__)
        4    0.000    0.000    0.000    0.000 std.py:113(__exit__)
        4    0.000    0.000    0.000    0.000 utils.py:222(__eq__)
        4    0.000    0.000    0.000    0.000 version.py:518(<lambda>)
        4    0.000    0.000    0.000    0.000 tokenization_utils_base.py:1086(pad_token)
        4    0.000    0.000    0.001    0.000 SentenceTransformer.py:1517(device)
        4    0.000    0.000    0.000    0.000 higher_order_ops.py:42(deco)
        4    0.000    0.000    0.000    0.000 higher_order_ops.py:41(raise_hard_error_if_graph_break)
        4    0.002    0.001    0.003    0.001 symbolic_convert.py:632(<dictcomp>)
        4    0.001    0.000    0.001    0.000 symbolic_convert.py:636(<listcomp>)
        4    0.000    0.000    0.004    0.001 symbolic_convert.py:626(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        4    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        4    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        4    0.001    0.000    0.001    0.000 {method 'readline' of '_io.BufferedReader' objects}
        4    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        4    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'recv' of '_socket.socket' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
      3/1    0.000    0.000    1.902    1.902 <frozen importlib._bootstrap>:1018(_gcd_import)
        3    0.000    0.000    0.000    0.000 abc.py:117(__instancecheck__)
        3    0.000    0.000    0.000    0.000 threading.py:82(RLock)
        3    0.000    0.000    0.038    0.013 threading.py:556(wait)
        3    0.000    0.000    0.000    0.000 threading.py:795(__init__)
        3    0.000    0.000    0.038    0.013 threading.py:873(start)
        3    0.000    0.000    0.000    0.000 threading.py:1140(daemon)
        3    0.000    0.000    0.000    0.000 threading.py:1222(_make_invoke_excepthook)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:63(__iter__)
        3    0.000    0.000    0.001    0.000 __init__.py:345(namedtuple)
        3    0.000    0.000    0.000    0.000 enum.py:787(name)
      3/1    0.000    0.000    1.902    1.902 __init__.py:109(import_module)
        3    0.000    0.000    0.000    0.000 typing.py:249(_flatten_literal_params)
        3    0.000    0.000    0.001    0.000 typing.py:358(__getitem__)
        3    0.000    0.000    0.001    0.000 typing.py:481(Literal)
        3    0.000    0.000    0.000    0.000 typing.py:804(__mro_entries__)
        3    0.000    0.000    0.000    0.000 typing.py:946(_value_and_type_iter)
        3    0.000    0.000    0.000    0.000 typing.py:1350(runtime_checkable)
        3    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
        3    0.003    0.001    0.006    0.002 inspect.py:326(getmembers)
        3    0.000    0.000    0.000    0.000 write_concern.py:24(validate_boolean)
        3    0.000    0.000    0.000    0.000 metaprogramming.py:96(<genexpr>)
        3    0.000    0.000    0.001    0.000 functional.py:1501(norm)
        3    0.002    0.001    2.677    0.892 sim_searchAI.py:21(similiarity_search)
        3    0.000    0.000    0.000    0.000 __init__.py:819(is_tensor)
        3    0.000    0.000    0.000    0.000 {method 'clamp_min' of 'torch._C.TensorBase' objects}
        3    0.000    0.000    0.000    0.000 {method 'expand_as' of 'torch._C.TensorBase' objects}
        3    0.001    0.000    0.001    0.000 {built-in method torch.embedding}
        3    0.000    0.000    0.001    0.000 _tensor.py:749(norm)
        3    0.000    0.000    0.001    0.000 functional.py:2157(embedding)
        3    0.001    0.000    0.002    0.001 functional.py:4794(normalize)
        3    0.000    0.000    0.000    0.000 __init__.py:10(is_available)
        3    0.000    0.000    0.001    0.000 sparse.py:163(forward)
        3    0.000    0.000    0.000    0.000 library.py:199(impl)
        3    0.000    0.000    0.000    0.000 std.py:153(__init__)
        3    0.000    0.000    0.000    0.000 std.py:163(colour)
        3    0.000    0.000    0.000    0.000 std.py:167(colour)
        3    0.000    0.000    0.000    0.000 std.py:186(__format__)
        3    0.000    0.000    0.000    0.000 std.py:226(__init__)
        3    0.000    0.000    0.001    0.000 std.py:451(fp_write)
        3    0.000    0.000    0.001    0.000 std.py:457(print_status)
        3    0.000    0.000    0.001    0.000 std.py:464(format_meter)
        3    0.000    0.000    0.001    0.000 std.py:1150(__str__)
        3    0.000    0.000    0.000    0.000 std.py:1446(format_dict)
        3    0.000    0.000    0.003    0.001 std.py:1464(display)
        3    0.000    0.000    0.000    0.000 utils.py:108(__init__)
        3    0.000    0.000    0.000    0.000 utils.py:112(__format__)
        3    0.000    0.000    0.000    0.000 utils.py:152(wrapper_setattr)
        3    0.000    0.000    0.001    0.000 utils.py:386(disp_trim)
        3    0.000    0.000    0.000    0.000 tokenization_utils_fast.py:562(<listcomp>)
        3    0.000    0.000    0.000    0.000 tokenization_utils_base.py:246(__getitem__)
        3    0.000    0.000    0.000    0.000 tokenization_utils_base.py:721(as_tensor)
        3    0.000    0.000    0.000    0.000 device_interface.py:22(__new__)
        3    0.000    0.000    0.000    0.000 utils.py:2608(is_tensor_base_attr_getter)
        3    0.001    0.000    0.127    0.042 utils.py:2(<module>)
        3    0.000    0.000    0.000    0.000 symbolic_opset9.py:789(_reduce_with_dtype)
        3    0.000    0.000    0.000    0.000 symbolic_opset9.py:1598(_avg_pool)
        3    0.000    0.000    0.000    0.000 symbolic_opset9.py:2052(decorator)
        3    0.000    0.000    0.000    0.000 symbolic_opset9.py:2050(wrap_logical_op_with_cast_to)
        3    0.000    0.000    0.000    0.000 symbolic_opset9.py:4861(_one_hidden_rnn)
        3    0.000    0.000    0.000    0.000 symbolic_opset10.py:390(_avg_pool)
        3    0.000    0.000    0.000    0.000 decorators.py:146(forbid_in_graph)
        3    0.001    0.000    0.001    0.000 {built-in method torch._C._linalg.linalg_vector_norm}
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        3    0.004    0.001    0.004    0.001 {built-in method io.open}
        3    0.000    0.000    0.001    0.000 {method 'sort' of 'list' objects}
        3    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        3    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
        3    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:883(_resolve_name)
        2    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        2    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        2    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        2    0.000    0.000    0.000    0.000 ntpath.py:44(normcase)
        2    0.000    0.000    0.000    0.000 ntpath.py:77(join)
        2    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
        2    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
        2    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
        2    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        2    0.000    0.000    0.000    0.000 process.py:37(current_process)
        2    0.000    0.000    0.000    0.000 threading.py:404(acquire)
        2    0.000    0.000    0.000    0.000 threading.py:1086(name)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:53(_commit_removals)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
        2    0.000    0.000    0.000    0.000 process.py:189(name)
        2    0.000    0.000    0.000    0.000 selectors.py:276(_key_from_fd)
        2    0.000    0.000    0.000    0.000 typing.py:865(<listcomp>)
        2    0.000    0.000    0.000    0.000 typing.py:860(__repr__)
        2    0.000    0.000    0.000    0.000 typing.py:985(__class_getitem__)
        2    0.000    0.000    0.000    0.000 typing.py:1847(<listcomp>)
