Tue Aug 13 15:21:30 2024    profile_data.prof

         297998 function calls (292075 primitive calls) in 14.634 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      532    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
  531/490    0.026    0.000    0.149    0.000 {built-in method builtins.__build_class__}
      528    0.012    0.000    0.234    0.000 dataclasses.py:377(_create_fn)
      522    0.000    0.000    0.000    0.000 inspect.py:2548(name)
      504    0.001    0.000    0.021    0.000 core.py:1417(next)
      504    0.001    0.000    0.001    0.000 cursor.py:1187(alive)
      504    0.000    0.000    0.002    0.000 metaprogramming.py:200(fget)
      501    0.001    0.000    0.001    0.000 core.py:1736(_buffer_size)
      501    0.000    0.000    0.000    0.000 core.py:1793(_data)
      501    0.001    0.000    0.001    0.000 cursor.py:1239(next)
      501    0.000    0.000    0.000    0.000 sim_searchAI.py:96(<lambda>)
      494    0.001    0.000    0.002    0.000 module.py:2339(children)
      494    0.001    0.000    0.001    0.000 module.py:2348(named_children)
      489    0.001    0.000    0.003    0.000 dataclasses.py:753(_set_new_attribute)
      467    0.001    0.000    0.002    0.000 dataclasses.py:281(__set_name__)
      458    0.001    0.000    0.001    0.000 {built-in method time.monotonic}
      454    0.001    0.000    0.002    0.000 base_events.py:694(time)
      454    0.001    0.000    0.001    0.000 base_events.py:1923(get_debug)
      452    0.000    0.000    0.001    0.000 inspect.py:159(isfunction)
      433    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      427    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      416    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
      399    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
      394    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
      386    0.001    0.000    0.008    0.000 enum.py:358(__call__)
      386    0.007    0.000    0.007    0.000 enum.py:670(__new__)
      384    0.000    0.000    0.001    0.000 typing_extensions.py:159(_should_collect_from_parameters)
      384    0.001    0.000    0.001    0.000 typing_extensions.py:1364(get_origin)
      384    0.000    0.000    0.002    0.000 typing_extensions.py:2976(_is_unpacked_typevartuple)
      380    0.000    0.000    0.002    0.000 typing.py:128(_type_convert)
      376    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:87(acquire)
      376    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:112(release)
      376    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      374    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:385(cached)
      374    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      374    0.006    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      372    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      372    0.014    0.000    0.194    0.001 <frozen importlib._bootstrap_external>:1514(find_spec)
      365    0.002    0.000    0.005    0.000 typing.py:137(_type_check)
      362    0.009    0.000    0.017    0.000 inspect.py:2498(__init__)
  348/324    0.001    0.000    0.001    0.000 {built-in method builtins.repr}
      341    0.001    0.000    0.001    0.000 inspect.py:2830(<genexpr>)
      336    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      332    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
      324    0.000    0.000    0.000    0.000 typing.py:750(__eq__)
      313    0.001    0.000    0.003    0.000 dataclasses.py:344(_tuple_str)
      312    0.000    0.000    0.000    0.000 {built-in method torch.is_grad_enabled}
    309/1    0.002    0.000    1.894    1.894 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      302    0.001    0.000    0.001    0.000 dataclasses.py:353(<listcomp>)
      284    0.001    0.000    0.005    0.000 _normalizations.py:203(normalizer_inner)
      284    0.000    0.000    0.006    0.000 _normalizations.py:202(normalizer)
      271    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      265    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
